species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Hemitragus_jemlahicus,Artiodactyla,166,70000,"Perez-Barbería et al., 2007",NA
Herpailurus_yagouaroundi,Carnivora,40.9,2485,"Perez-Barbería et al., 2007",NA
Herpestes_brachyurus,Carnivora,12.55,1450,"Isler & van Schaik, 2009",NA
Herpestes_edwardsii,Carnivora,10.86764,1320,"Finarelli & Flynn, 2009",NA
Herpestes_fuscus,Carnivora,12.55,1120,"Gittleman, 1986",NA
Herpestes_ichneumon,Carnivora,23.3,3265,"Isler & van Schaik, 2012",NA
Herpestes_javanicus,Carnivora,7.2,527,"Isler & van Schaik, 2012",NA
Herpestes_naso,Carnivora,25.53,3000,"Gittleman, 1986",NA
Herpestes_pulverulentus,Carnivora,11.41672,800,"Finarelli & Flynn, 2009",NA
Herpestes_sanguineus,Carnivora,9.07536,550,"Finarelli & Flynn, 2009",NA
Herpestes_smithii,Carnivora,14.6,1205,"Perez-Barbería et al., 2007",NA
Herpestes_urva,Carnivora,20.91,2360,"Gittleman, 1986",NA
Herpestes_vitticollis,Carnivora,25.79,2290,"Gittleman, 1986",NA
Hesperoptenus_blanfordi,Chiroptera,0.16,7.3,"Jones & MacLarnon, 2004",NA
Hesperoptenus_tickelli,Chiroptera,0.33,18,"Shi et al., 2018","Faurby et al., 2018"
Heterocephalus_glaber,Rodentia,0.52,60.8,"Boddy et al., 2012",NA
Heterogeomys_cherriei,Rodentia,3.47,405,"Boddy et al., 2012",NA
Heterohyrax_brucei,Hyracoidea,12.27,2625,"Burger et al., 2019",NA
Heteromys_anomalus,Rodentia,1.02,70,"Isler & van Schaik, 2009",NA
Heteromys_desmarestianus,Rodentia,1.13,74.65,"Boddy et al., 2012",NA
Heteromys_irroratus,Rodentia,1.06,57.7,"Boddy et al., 2012",NA
Heteromys_pictus,Rodentia,0.77,43.35,"Boddy et al., 2012",NA
Heteromys_salvini,Rodentia,0.77,44.9,"Boddy et al., 2012",NA
Hippopotamus_amphibius,Artiodactyla,720,1351000,"Boddy et al., 2012",NA
Hipposideros_abae,Chiroptera,0.37,25.5,"Shi et al., 2018","Faurby et al., 2018"
Hipposideros_armiger,Chiroptera,0.8,56,"Jones & MacLarnon, 2004",NA
Hipposideros_ater,Chiroptera,0.2,5.83,"Jones & MacLarnon, 2004",NA
Hipposideros_bicolor,Chiroptera,0.24,8.38,"Jones & MacLarnon, 2004",NA
Hipposideros_caffer,Chiroptera,0.31,10.9,"Jones & MacLarnon, 2004",NA
Hipposideros_calcaratus,Chiroptera,0.37,11.35,"Jones & MacLarnon, 2004",NA
Hipposideros_cervinus,Chiroptera,0.21,7.3,"Jones & MacLarnon, 2004",NA
Hipposideros_commersoni,Chiroptera,0.74,101.25,"Jones & MacLarnon, 2004",NA
Hipposideros_cyclops,Chiroptera,0.57,33.5,"Shi et al., 2018","Faurby et al., 2018"
Hipposideros_diadema,Chiroptera,0.72,43.6,"Jones & MacLarnon, 2004",NA
Hipposideros_dyacorum,Chiroptera,0.19,6.1,"Shi et al., 2018","Faurby et al., 2018"
Hipposideros_fuliginosus,Chiroptera,0.29,16.6,"Shi et al., 2018","Faurby et al., 2018"
