species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Pogonomys_sylvestris,Rodentia,1.13,41.2,"Boddy et al., 2012",NA
Poliocitellus_franklinii,Rodentia,3.96,443.05,"Burger et al., 2019",NA
Pongo_abelii,Primates,389.5,62815,"Isler et al., 2008",NA
Pongo_pygmaeus,Primates,341.99,54229.04,"Boddy et al., 2012",NA
Pontoporia_blainvillei,Cetacea,221,34900,"Montgomery et al., 2013",NA
Potamochoerus_porcus,Artiodactyla,138,75000,"Perez-Barbería et al., 2007",NA
Potamogale_velox,Afrosoricida,4.05,650,"Boddy et al., 2012",NA
Potorous_tridactylus,Diprotodontia,9.53,1100,"Ashwell, 2008; Weisbecker et al., 2015",NA
Potos_flavus,Carnivora,33.08,2241.5,"Boddy et al., 2012",NA
Praomys_daltoni,Rodentia,0.68,35,"Boddy et al., 2012",NA
Praomys_morio,Rodentia,0.84,46.5,"Boddy et al., 2012",NA
Praomys_tullbergi,Rodentia,0.86,37.2,"Boddy et al., 2012",NA
Presbytis_chrysomelas,Primates,72.11,6718.67,"Isler et al., 2008",NA
Presbytis_comata,Primates,80.3,6695,"Isler & van Schaik, 2012",NA
Presbytis_femoralis,Primates,73.74,6847.88,"Isler et al., 2008",NA
Presbytis_frontata,Primates,81.02,5615,"Isler et al., 2008",NA
Presbytis_hosei,Primates,60,5630,"van Woerden et al., 2011",NA
Presbytis_melalophos,Primates,59.2,6567,"Isler & van Schaik, 2012",NA
Presbytis_natunae,Primates,57.19,5065,"Isler et al., 2008",NA
Presbytis_potenziani,Primates,57,4817,"van Woerden et al., 2011",NA
Presbytis_rubicunda,Primates,71.02,6265.6,"Isler et al., 2008",NA
Presbytis_siamensis,Primates,60.94,5876.46,"Isler et al., 2008",NA
Presbytis_thomasi,Primates,72.93,6730,"Isler et al., 2008",NA
Priodontes_maximus,Xenarthra,81,60000,"Burger et al., 2019",NA
Prionailurus_bengalensis,Carnivora,29.37,5470,"Gittleman, 1986",NA
Prionailurus_planiceps,Carnivora,21.98,2100,"Gittleman, 1986",NA
Prionailurus_rubiginosus,Carnivora,18.92,1420,"Gittleman, 1986",NA
Prionailurus_viverrinus,Carnivora,46.53,8410,"Gittleman, 1986",NA
Prionodon_linsang,Carnivora,8.5,698,"Isler & van Schaik, 2012",NA
Prionodon_pardicolor,Carnivora,9.03,450,"Gittleman, 1986",NA
Procavia_capensis,Hyracoidea,19.47,2321.67,"Boddy et al., 2012",NA
Procolobus_verus,Primates,52.6,4450,"Isler et al., 2008",NA
Procyon_cancrivorus,Carnivora,61.56,6931.72,"Patzke et al., 2013; Jones et al., 2009",NA
Procyon_lotor,Carnivora,41.07,4975.67,"Boddy et al., 2012",NA
Proechimys_brevicauda,Rodentia,2.95,285,"Stankowich & Romero, 2017",NA
Proechimys_semispinosus,Rodentia,6.87,544.75,"Boddy et al., 2012",NA
Prolemur_simus,Primates,27.14,2150,"Isler et al., 2008",NA
Promops_centralis,Chiroptera,0.45,26.4,"Shi et al., 2018","Faurby et al., 2018"
Promops_nasutus,Chiroptera,0.39,15.2,"Shi et al., 2018","Faurby et al., 2018"
Propithecus_coquereli,Primates,30.19,3728.5,"Isler et al., 2008",NA
Propithecus_deckenii,Primates,30.15,3531.67,"Isler et al., 2008",NA
Propithecus_diadema,Primates,39.8,6130,"Isler et al., 2008",NA
Propithecus_edwardsi,Primates,39.5,5682,"Isler & van Schaik, 2012",NA
Propithecus_verreauxi,Primates,26.7,3480,"Boddy et al., 2012",NA
Proteles_cristata,Carnivora,35.2,8820,"Isler & van Schaik, 2012",NA
Protoxerus_stangeri,Rodentia,11.33,639.5,"Stankowich & Romero, 2017",NA
Psammomys_obesus,Rodentia,1.3,69.1,"Isler & van Schaik, 2012",NA
Pseudantechinus_bilarni,Dasyuromorphia,0.65,27.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudantechinus_macdonnellensis,Dasyuromorphia,0.49,32.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudantechinus_roryi,Dasyuromorphia,0.42,23.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudocheirus_peregrinus,Diprotodontia,4.52,900,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirops_albertisii,Diprotodontia,4.68,784.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirops_archeri,Diprotodontia,5.87,1095,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirops_corinnae,Diprotodontia,5.36,1123,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirops_coronatus,Diprotodontia,5.13,1500,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirops_cupreus,Diprotodontia,7.54,1700,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirulus_canescens,Diprotodontia,1.8,300,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirulus_caroli,Diprotodontia,3.2,440,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirulus_forbesi,Diprotodontia,3.36,650,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirulus_herbertensis,Diprotodontia,4.32,1115,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirulus_mayeri,Diprotodontia,2.01,151.75,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudochirulus_schlegeli,Diprotodontia,2.8,274,"Ashwell, 2008; Weisbecker et al., 2015",NA
Pseudomys_australis,Rodentia,1.16,50,"Boddy et al., 2012",NA
Pseudomys_delicatulus,Rodentia,0.41,9.4,"Isler & van Schaik, 2009",NA
Pseudomys_hermannsburgensis,Rodentia,1.08,13.38,"Isler & van Schaik, 2006",NA
Pseudomys_higginsi,Rodentia,1.32,63.25,"Buddy et al., 2012",NA
Pseudorca_crassidens,Cetacea,4307,2000000,"Boddy et al., 2012",NA
Ptenochirus_minor,Chiroptera,1.07,36.3,"Shi et al., 2018","Faurby et al., 2018"
Pteralopex_atrata,Chiroptera,6.22,472,Scan,NA
Pteromys_volans,Rodentia,1.95,59.23,"Heldstab et al., 2018",NA
Pteromyscus_pulverulentus,Rodentia,3.55,400,"Boddy et al., 2012",NA
Pteronotus_davyi,Chiroptera,0.32,10.6,"Jones & MacLarnon, 2004",NA
Pteronotus_gymnonotus,Chiroptera,0.34,13.6,"Jones & MacLarnon, 2004",NA
Pteronotus_macleayii,Chiroptera,0.18,5.4,"Shi et al., 2018","Faurby et al., 2018"
Pteronotus_parnellii,Chiroptera,0.53,19.1,"Jones & MacLarnon, 2004",NA
Pteronotus_personatus,Chiroptera,0.23,7.8,"Jones & MacLarnon, 2004",NA
Pteronura_brasiliensis,Carnivora,85.6,24000,"Isler & van Schaik, 2012",NA
Pteropus_admiralitatum,Chiroptera,4.18,299.9,"Shi et al., 2018","Faurby et al., 2018"
Pteropus_alecto,Chiroptera,7.04,595,"Jones & MacLarnon, 2004",NA
Pteropus_capistratus,Chiroptera,4.74,223,"Shi et al., 2018","Faurby et al., 2018"
Pteropus_conspicillatus,Chiroptera,8.35,750,"Jones & MacLarnon, 2004",NA
Pteropus_giganteus,Chiroptera,7.78,577,"Jones & MacLarnon, 2004",NA
Pteropus_hypomelanus,Chiroptera,5.3,390,"Jones & MacLarnon, 2004",NA
Pteropus_livingstonii,Chiroptera,8.07,588.5,"Shi et al., 2018","Faurby et al., 2018"
Pteropus_lylei,Chiroptera,6.13,316.67,"Jones & MacLarnon, 2004",NA
Pteropus_macrotis,Chiroptera,6.13,366,"Jones & MacLarnon, 2004",NA
Pteropus_mahaganus,Chiroptera,5.28,465,"Jones & MacLarnon, 2004",NA
Pteropus_mariannus,Chiroptera,5.69,453.5,"Shi et al., 2018","Faurby et al., 2018"
Pteropus_melanopogon,Chiroptera,10.22,860,Scan,NA
Pteropus_melanotus,Chiroptera,10.6,1261.4,"Burger et al., 2019",NA
Pteropus_molossinus,Chiroptera,2.64,178,"Shi et al., 2018","Faurby et al., 2018"
Pteropus_neohibernicus,Chiroptera,9.11,840,"Jones & MacLarnon, 2004",NA
Pteropus_ornatus,Chiroptera,6.67,330,"Shi et al., 2018","Faurby et al., 2018"
Pteropus_poliocephalus,Chiroptera,7.23,695,"Jones & MacLarnon, 2004",NA
Pteropus_rayneri,Chiroptera,9.93,724.5,Scan,NA
Pteropus_rufus,Chiroptera,7.25,338.83,"Jones & MacLarnon, 2004",NA
Pteropus_samoensis,Chiroptera,5.79,310,"Jones & MacLarnon, 2004",NA
Pteropus_scapulatus,Chiroptera,5.36,375,"Jones & MacLarnon, 2004",NA
Pteropus_temminckii,Chiroptera,4.89,250,"Jones & MacLarnon, 2004",NA
Pteropus_tonganus,Chiroptera,6.08,428.75,"Jones & MacLarnon, 2004",NA
Pteropus_vampyrus,Chiroptera,9.65,1078.07,"Jones & MacLarnon, 2004",NA
Pudu_puda,Artiodactyla,63,9642.62,"Heldstab et al., 2018",NA
Puma_concolor,Carnivora,154,54432,"Boddy et al., 2012",NA
Pusa_caspica,Carnivora,162.5,62750,"Boddy et al., 2012",NA
Pusa_hispida,Carnivora,196.25,69085,"Boddy et al., 2012",NA
Pusa_sibirica,Carnivora,187.5,89500,"Boddy et al., 2012",NA
Pygathrix_nemaeus,Primates,77,7500,"Boddy et al., 2012",NA
Pygathrix_nigripes,Primates,82.75,10333.32,"Isler et al., 2008; Jones et al., 2009",NA
Pygoderma_bilabiatum,Chiroptera,0.54,18.5,"Shi et al., 2018","Faurby et al., 2018"
Rangifer_tarandus,Artiodactyla,278,71700,"Boddy et al., 2012",NA
Raphicerus_campestris,Artiodactyla,51.3,10200,"Isler & van Schaik, 2012",NA
Raphicerus_melanotis,Artiodactyla,55,10100,"Perez-Barbería et al., 2007",NA
Rattus_exulans,Rodentia,0.89,60.3,"Boddy et al., 2012",NA
Rattus_fuscipes,Rodentia,1.69,122,"Boddy et al., 2012",NA
Rattus_lutreolus,Rodentia,1.64,92.7,"Boddy et al., 2012",NA
Rattus_morotaiensis,Rodentia,1.92,134.1,"Boddy et al., 2012",NA
Rattus_niobe,Rodentia,1.1,42.1,"Boddy et al., 2012",NA
Rattus_nitidus,Rodentia,1.7,101,"Boddy et al., 2012",NA
Rattus_norvegicus,Rodentia,8.03,359.5,"Boddy et al., 2012",NA
Rattus_rattus,Rodentia,1.4,150,"Isler & van Schaik, 2012",NA
Rattus_sordidus,Rodentia,1.7,120.67,"Boddy et al., 2012",NA
Rattus_tunneyi,Rodentia,1.41,76.2,"Boddy et al., 2012",NA
Rattus_verecundus,Rodentia,1.48,59.4,"Boddy et al., 2012",NA
Ratufa_affinis,Rodentia,9.85,982.5,"Boddy et al., 2012",NA
Ratufa_bicolor,Rodentia,11.01,1320,"Boddy et al., 2012",NA
Ratufa_indica,Rodentia,11.4,1935,"Boddy et al., 2012",NA
Redunca_arundinum,Artiodactyla,136.8,38200,"Isler & van Schaik, 2012",NA
Redunca_fulvorufula,Artiodactyla,109,31000,"Perez-Barbería et al., 2007",NA
Redunca_redunca,Artiodactyla,123,47500,"Perez-Barbería et al., 2007",NA
Reithrodontomys_megalotis,Rodentia,0.4,10.7,"Boddy et al., 2012",NA
Rhabdomys_pumilio,Rodentia,0.69,39.71,"Boddy et al., 2012",NA
Rhinoceros_unicornis,Perissodactyla,786,2250000,"Perez-Barbería et al., 2007",NA
Rhinolophus_acuminatus,Chiroptera,0.3,12.1,"Jones & MacLarnon, 2004",NA
Rhinolophus_affinis,Chiroptera,0.35,13.5,"Jones & MacLarnon, 2004",NA
Rhinolophus_capensis,Chiroptera,0.26,12.8,"Jones & MacLarnon, 2004",NA
Rhinolophus_clivosus,Chiroptera,0.24,20.1,"Jones & MacLarnon, 2004",NA
Rhinolophus_coelophyllus,Chiroptera,0.26,7.7,"Jones & MacLarnon, 2004",NA
Rhinolophus_eloquens,Chiroptera,0.4,19.05,"Jones & MacLarnon, 2004",NA
Rhinolophus_ferrumequinum,Chiroptera,0.35,23.5,"Jones & MacLarnon, 2004",NA
Rhinolophus_hildebrandtii,Chiroptera,0.63,29.1,"Jones & MacLarnon, 2004",NA
Rhinolophus_hipposideros,Chiroptera,0.15,4.55,"Jones & MacLarnon, 2004",NA
Rhinolophus_landeri,Chiroptera,0.28,9.65,"Jones & MacLarnon, 2004",NA
Rhinolophus_lepidus,Chiroptera,0.19,5.6,"Jones & MacLarnon, 2004",NA
Rhinolophus_luctus,Chiroptera,0.59,33.9,"Jones & MacLarnon, 2004",NA
Rhinolophus_macrotis,Chiroptera,0.21,6.3,"Jones & MacLarnon, 2004",NA
Rhinolophus_malayanus,Chiroptera,0.2,6.4,"Jones & MacLarnon, 2004",NA
Rhinolophus_megaphyllus,Chiroptera,0.26,9.8,"Jones & MacLarnon, 2004",NA
Rhinolophus_mehelyi,Chiroptera,0.31,9.7,"Jones & MacLarnon, 2004",NA
Rhinolophus_paradoxolophus,Chiroptera,0.27,9.3,"Jones & MacLarnon, 2004",NA
Rhinolophus_pearsonii,Chiroptera,0.33,13.9,"Jones & MacLarnon, 2004",NA
Rhinolophus_pusillus,Chiroptera,0.16,4.7,"Jones & MacLarnon, 2004",NA
Rhinolophus_robinsoni,Chiroptera,0.28,8.5,"Jones & MacLarnon, 2004",NA
Rhinolophus_stheno,Chiroptera,0.29,8.5,"Jones & MacLarnon, 2004",NA
Rhinolophus_thomasi,Chiroptera,0.23,9,"Jones & MacLarnon, 2004",NA
Rhinolophus_trifoliatus,Chiroptera,0.35,14.8,"Jones & MacLarnon, 2004",NA
Rhinolophus_yunanensis,Chiroptera,0.44,23.5,"Jones & MacLarnon, 2004",NA
Rhinonicteris_aurantia,Chiroptera,0.25,8.65,"Jones & MacLarnon, 2004",NA
Rhinophylla_fischerae,Chiroptera,0.27,10.6,"Shi et al., 2018","Faurby et al., 2018"
Rhinophylla_pumilio,Chiroptera,0.36,8.9,"Jones & MacLarnon, 2004",NA
Rhinopithecus_bieti,Primates,114.71,9100,"van Woerden et al., 2010; Heldstab et al., 2018",NA
Rhinopithecus_roxellana,Primates,117.76,14750,"Isler et al., 2008",NA
Rhinopoma_hardwickii,Chiroptera,0.28,12.9,"Jones & MacLarnon, 2004",NA
Rhinopoma_microphyllum,Chiroptera,0.4,27.1,"Jones & MacLarnon, 2004",NA
Rhinosciurus_laticaudatus,Rodentia,4.28,240,"Boddy et al., 2012",NA
Rhogeessa_parvula,Chiroptera,0.11,4.35,"Jones & MacLarnon, 2004",NA
Rhogeessa_tumida,Chiroptera,0.11,5.05,"Jones & MacLarnon, 2004",NA
Rhynchocyon_cirnei,Macroscelidea,5.9,507.5,"Boddy et al., 2012",NA
Rhynchocyon_petersi,Macroscelidea,5.4,370,"Boddy et al., 2012",NA
Rhynchogale_melleri,Carnivora,16.95,2720,"Gittleman, 1986",NA
Rhyncholestes_raphanurus,Paucituberculata,0.65,23.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Rhynchomeles_prattorum,Peramelemorphia,4.9,907,"Ashwell, 2008",NA
Rhynchonycteris_naso,Chiroptera,0.11,4.3,"Jones & MacLarnon, 2004",NA
Romerolagus_diazi,Lagomorpha,4.38,465.58,"Heldstab et al., 2018",NA
Rousettus_aegyptiacus,Chiroptera,2.26,129.62,"Jones & MacLarnon, 2004",NA
Rousettus_amplexicaudatus,Chiroptera,1.63,80.38,"Jones & MacLarnon, 2004",NA
Rousettus_lanosus,Chiroptera,2.37,103,Scan,NA
Rousettus_leschenaultii,Chiroptera,1.59,97.1,Scan,"Faurby et al., 2018"
Rupicapra_rupicapra,Artiodactyla,117.8,27167,"Isler & van Schaik, 2012",NA
Rusa_unicolor,Artiodactyla,355,162000,"Heldstab et al., 2018",NA
Saccolaimus_saccolaimus,Chiroptera,0.67,43,"Jones & MacLarnon, 2004",NA
Saccopteryx_bilineata,Chiroptera,0.23,7.78,"Jones & MacLarnon, 2004",NA
Saccopteryx_canescens,Chiroptera,0.13,3.4,"Jones & MacLarnon, 2004",NA
Saccopteryx_leptura,Chiroptera,0.16,4.9,"Jones & MacLarnon, 2004",NA
Saccostomus_campestris,Rodentia,0.82,49.35,"Boddy et al., 2012",NA
Saguinus_fuscicollis,Primates,7.9,401,"Isler & van Schaik, 2012",NA
Saguinus_geoffroyi,Primates,14.27,634.67,"Boddy et al., 2012",NA
Saguinus_labiatus,Primates,10.01,520,"Isler et al., 2008",NA
Saguinus_leucopus,Primates,9.7,524.5,"Isler et al., 2008",NA
Saguinus_midas,Primates,9.78,563,"Isler et al., 2008",NA
Saguinus_mystax,Primates,11.1,584,"Isler & van Schaik, 2012",NA
Saguinus_niger,Primates,9.48,375,"Isler et al., 2008",NA
Saguinus_nigricollis,Primates,8.9,476,"Isler & van Schaik, 2012",NA
Saguinus_oedipus,Primates,9.64,327.14,"Boddy et al., 2012",NA
Saiga_tatarica,Artiodactyla,96.67,40000,"Heldstab et al., 2018",NA
Saimiri_boliviensis,Primates,24.06,750,"Boddy et al., 2012",NA
Saimiri_oerstedii,Primates,22.45,605,"Boddy et al., 2012",NA
Saimiri_sciureus,Primates,23.35,578.7,"Boddy et al., 2012",NA
Salanoia_concolor,Carnivora,11.02,780,"Gittleman, 1986",NA
Sapajus_apella,Primates,71.3,2589,"Boddy et al., 2012",NA
Sapajus_libidinosus,Primates,64.69,2509.78,"Isler et al., 2008",NA
Sapajus_nigritus,Primates,67.07,2730.83,"Isler et al., 2008",NA
Sapajus_xanthosternos,Primates,66.09,2440.48,"Isler et al., 2008",NA
Sarcophilus_harrisii,Dasyuromorphia,16.09,8000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Scalopus_aquaticus,Eulipotyphla,1.48,39.6,"Boddy et al., 2012",NA
Scapanus_townsendii,Eulipotyphla,2.02,70,"Boddy et al., 2012",NA
Sciurocheirus_alleni,Primates,5.85,273,"Kirk, 2006",NA
Sciurocheirus_gabonensis,Primates,5.36,273,"Isler et al., 2008",NA
Sciurus_aberti,Rodentia,7.44,626.5,"Burger et al., 2019",NA
Sciurus_anomalus,Rodentia,5.56,256,"Isler & van Schaik, 2009",NA
Sciurus_aureogaster,Rodentia,7.81,595,"Boddy et al., 2012",NA
Sciurus_carolinensis,Rodentia,7.41,503.17,"Boddy et al., 2012",NA
Sciurus_granatensis,Rodentia,5.91,400,"Boddy et al., 2012",NA
Sciurus_niger,Rodentia,7.91,516.32,"Boddy et al., 2012",NA
Sciurus_vulgaris,Rodentia,5.93,327.4,"Boddy et al., 2012",NA
Scotinomys_teguina,Rodentia,0.42,10.6,"Isler & van Schaik, 2009",NA
Scotinomys_xerampelinus,Rodentia,0.52,15.2,"Isler & van Schaik, 2009",NA
Scotomanes_ornatus,Chiroptera,0.38,21.8,"Jones & MacLarnon, 2004",NA
Scotonycteris_zenkeri,Chiroptera,0.71,21.35,"Jones & MacLarnon, 2004",NA
Scotophilus_dinganii,Chiroptera,0.44,24.3,"Jones & MacLarnon, 2004",NA
Scotophilus_heathii,Chiroptera,0.48,31.5,"Jones & MacLarnon, 2004",NA
Scotophilus_kuhlii,Chiroptera,0.34,19.6,"Jones & MacLarnon, 2004",NA
Scotophilus_nigrita,Chiroptera,1.05,101,"Jones & MacLarnon, 2004",NA
Scotorepens_sanborni,Chiroptera,0.16,9.1,"Jones & MacLarnon, 2004",NA
Scotozous_dormeri,Chiroptera,0.14,6.8,"Jones & MacLarnon, 2004",NA
Semnopithecus_ajax,Primates,132.06,16329.75,"Isler et al., 2008",NA
Semnopithecus_dussumieri,Primates,90.09,10664.29,"Isler et al., 2008",NA
Semnopithecus_entellus,Primates,111.5,7010,"Boddy et al., 2012",NA
Semnopithecus_hypoleucos,Primates,88.3,10130,"Isler & van Schaik, 2012",NA
Semnopithecus_priam,Primates,83.07,8561.57,"Isler et al., 2008",NA
Semnopithecus_schistaceus,Primates,129.25,17000,"Isler et al., 2008",NA
Setifer_setosus,Afrosoricida,1.51,248,"Boddy et al., 2012",NA
Setonix_brachyurus,Diprotodontia,13.9,3250,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sigmodon_hispidus,Rodentia,1.14,132.5,"Boddy et al., 2012",NA
Simias_concolor,Primates,56.2,6800,"Isler & van Schaik, 2012",NA
Sminthopsis_bindi,Dasyuromorphia,0.35,13,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_butleri,Dasyuromorphia,0.35,13,"Ashwell, 2008; Heldstab et al., 2018",NA
Sminthopsis_crassicaudata,Dasyuromorphia,0.36,15,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_douglasi,Dasyuromorphia,0.35,55,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_griseoventer,Dasyuromorphia,0.49,17.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_hirtipes,Dasyuromorphia,0.41,19,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_leucopus,Dasyuromorphia,0.41,22.5,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_macroura,Dasyuromorphia,0.4,20,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_murina,Dasyuromorphia,0.44,17,"Ashwell, 2008; Weisbecker et al., 2015",NA
Sminthopsis_virginiae,Dasyuromorphia,0.34,46,"Ashwell, 2008; Weisbecker et al., 2015",NA
Solenodon_paradoxus,Eulipotyphla,4.67,900,"Boddy et al., 2012",NA
Sorex_araneus,Eulipotyphla,0.23,8.9,"Boddy et al., 2012",NA
Sorex_arcticus,Eulipotyphla,0.27,8.2,"Boddy et al., 2012",NA
Sorex_cinereus,Eulipotyphla,0.17,3.9,"Boddy et al., 2012",NA
Sorex_fumeus,Eulipotyphla,0.21,8.9,"Boddy et al., 2012",NA
Sorex_hoyi,Eulipotyphla,0.09,3.05,"Boddy et al., 2012",NA
Sorex_longirostris,Eulipotyphla,0.1,3.1,"Isler & van Schaik, 2009",NA
Sorex_minutus,Eulipotyphla,0.13,4.6,"Boddy et al., 2012",NA
Sorex_monticolus,Eulipotyphla,0.23,6.3,"Boddy et al., 2012",NA
Sorex_ornatus,Eulipotyphla,0.12,5,"Boddy et al., 2012",NA
Sorex_pacificus,Eulipotyphla,0.29,10.2,"Isler & van Schaik, 2009",NA
Sorex_palustris,Eulipotyphla,0.31,11.9,"Boddy et al., 2012",NA
Sorex_trowbridgii,Eulipotyphla,0.21,5.3,"Boddy et al., 2012",NA
Sorex_vagrans,Eulipotyphla,0.17,5.3,"Boddy et al., 2012",NA
Sotalia_fluviatilis,Cetacea,688,42240,"Montgomery et al., 2013",NA
Spalacopus_cyanus,Rodentia,1.58,93,"Boddy et al., 2012",NA
Spalax_ehrenbergi,Rodentia,1.88,197,"Boddy et al., 2012",NA
Spalax_leucodon,Rodentia,3,122,"Burger et al., 2019",NA
Speothos_venaticus,Carnivora,40.5,5990,"Isler & van Schaik, 2012",NA
Spermophilopsis_leptodactylus,Rodentia,6.18,495,"Boddy et al., 2012",NA
Spermophilus_alashanicus,Rodentia,2.89,200,"Mateju, 2016",NA
Spermophilus_citellus,Rodentia,2.89,288.5,"Mateju, 2016",NA
Spermophilus_dauricus,Rodentia,2.75,223.8,"Mateju, 2016",NA
Spermophilus_erythrogenys,Rodentia,3.44,351,"Mateju, 2016",NA
Spermophilus_fulvus,Rodentia,4.55,720,"Mateju, 2016",NA
Spermophilus_major,Rodentia,4.12,535,"Mateju, 2016",NA
Spermophilus_musicus,Rodentia,2.62,136,"Mateju, 2016",NA
Spermophilus_pygmaeus,Rodentia,2.44,235.2,"Mateju, 2016",NA
Spermophilus_relictus,Rodentia,3.49,340.5,"Mateju, 2016",NA
Spermophilus_suslicus,Rodentia,2.55,218.2,"Mateju, 2016",NA
Spermophilus_xanthoprymnus,Rodentia,3.04,267.9,"Mateju, 2016",NA
Sphaerias_blanfordi,Chiroptera,0.83,29.5,"Jones & MacLarnon, 2004",NA
Sphaeronycteris_toxophyllum,Chiroptera,0.54,17.55,"Jones & MacLarnon, 2004",NA
Spilocuscus_kraemeri,Diprotodontia,11.5,1547,"Ashwell, 2008",NA
Spilocuscus_maculatus,Diprotodontia,13.4,3815,"Ashwell, 2008; Weisbecker et al., 2015",NA
Spilocuscus_rufoniger,Diprotodontia,16.8,6000,"Ashwell, 2008; Weisbecker et al., 2015",NA
Spilogale_gracilis,Carnivora,6.81,420,"Stankowich & Romero, 2017",NA
Spilogale_putorius,Carnivora,5,326,"Isler & van Schaik, 2012",NA
Stenella_attenuata,Cetacea,779.83,65614.53,"Barton & Capellini, 2011",NA
Stenella_clymene,Cetacea,666,86000,"Montgomery et al., 2013",NA
Stenella_coeruleoalba,Cetacea,883.75,63500,"Boddy et al., 2012",NA
Stenella_frontalis,Cetacea,726,110000,"Perrin, 2002; Faurby et al., 2018",NA
Stenella_longirostris,Cetacea,450,33600,"Boddy et al., 2012",NA
Steno_bredanensis,Cetacea,1541.9,123830.9,"Montgomery et al., 2013",NA
Stenoderma_rufum,Chiroptera,0.63,20.7,"Shi et al., 2018","Faurby et al., 2018"
Strigocuscus_pelengensis,Diprotodontia,6.22,991,"Ashwell, 2008",NA
Sturnira_bidens,Chiroptera,0.49,17.6,"Shi et al., 2018","Faurby et al., 2018"
Sturnira_bogotensis,Chiroptera,0.58,20.8,"Shi et al., 2018","Faurby et al., 2018"
Sturnira_lilium,Chiroptera,0.58,18.67,"Jones & MacLarnon, 2004",NA
Sturnira_ludovici,Chiroptera,0.68,25.9,"Jones & MacLarnon, 2004",NA
Sturnira_magna,Chiroptera,0.89,48.6,"Shi et al., 2018","Faurby et al., 2018"
Sturnira_mordax,Chiroptera,0.65,25.1,"Shi et al., 2018","Faurby et al., 2018"
Sturnira_nana,Chiroptera,0.35,10.9,"Shi et al., 2018","Faurby et al., 2018"
Sturnira_oporaphilum,Chiroptera,0.57,26.5,"Shi et al., 2018","Faurby et al., 2018"
Sturnira_tildae,Chiroptera,0.73,24,"Jones & MacLarnon, 2004",NA
Styloctenium_wallacei,Chiroptera,3.4,173,Scan,NA
Suncus_etruscus,Eulipotyphla,0.07,2.24,"Boddy et al., 2012",NA
Suncus_megalura,Eulipotyphla,0.16,5.25,"Heldstab et al., 2018",NA
Suncus_murinus,Eulipotyphla,0.39,35,"Boddy et al., 2012",NA
Sundamys_muelleri,Rodentia,3.5,311.6,"Isler & van Schaik, 2009",NA
Surdisorex_polulus,Eulipotyphla,0.4,18.6,"Boddy et al., 2012",NA
Suricata_suricatta,Carnivora,10.3,725,"Isler & van Schaik, 2012",NA
Sus_scrofa,Artiodactyla,169.8,86772.73,"Boddy et al., 2012",NA
Syconycteris_australis,Chiroptera,0.59,15.84,"Jones & MacLarnon, 2004",NA
Sylvicapra_grimmia,Artiodactyla,77.2,12625,"Isler & van Schaik, 2012",NA
Sylvilagus_audubonii,Lagomorpha,6.07,792.5,"Boddy et al., 2012",NA
Sylvilagus_bachmani,Lagomorpha,6.58,712.4,"Boddy et al., 2012",NA
Sylvilagus_brasiliensis,Lagomorpha,4.5,439,"Boddy et al., 2012",NA
Sylvilagus_cunicularius,Lagomorpha,7.92,2489.54,"Heldstab et al., 2018",NA
Sylvilagus_floridanus,Lagomorpha,7.56,1036,"Boddy et al., 2012",NA
Sylvilagus_nuttallii,Lagomorpha,6.5,801.54,"Heldstab et al., 2018",NA
Sylvilagus_palustris,Lagomorpha,7,1355.23,"Heldstab et al., 2018",NA
Sylvilagus_transitionalis,Lagomorpha,7.17,813.51,"Heldstab et al., 2018",NA
Sylvisorex_lunaris,Eulipotyphla,0.34,18.5,"Heldstab et al., 2018",NA
Symphalangus_syndactylus,Primates,134.8,12172,"Boddy et al., 2012",NA
Synaptomys_cooperi,Rodentia,0.59,23.8,"Boddy et al., 2012",NA
Syncerus_caffer,Artiodactyla,647.5,665440,"Boddy et al., 2012",NA
